日期,时间,温度℃,湿度%,气压hPa,降水量mm,地面风速m/s,预测值*10^3kWh
2022-01-01 0:00:00,0:00:00,-5.978491211,39.87919858,908.0432813,0,1.483439075,2.2340782
2022-01-01 0:00:00,1:00:00,-6.175665283,40.0831135,907.4720313,0,1.743470925,2.472222593
2022-01-01 0:00:00,2:00:00,-6.259130859,41.78775402,907.1392188,0,1.681425083,2.964534223
2022-01-01 0:00:00,3:00:00,-5.538824463,39.82712194,906.4821094,0,1.09027003,2.923559636
2022-01-01 0:00:00,4:00:00,-4.707189941,38.25351263,906.2775781,0,0.492904128,2.990087868
2022-01-01 0:00:00,5:00:00,-6.487310791,41.62352328,906.66125,0,0.73026124,3.041732592
2022-01-01 0:00:00,6:00:00,-6.858618164,43.7861186,907.1991406,0,1.02643688,3.277294214
2022-01-01 0:00:00,7:00:00,-7.389715576,44.80489557,907.64375,0,1.366039313,3.084245884
2022-01-01 0:00:00,8:00:00,-8.513922119,49.41920076,908.1822656,0,1.267555722,3.051279016
2022-01-01 0:00:00,9:00:00,-3.607611084,35.88389641,909.063125,0,1.469199562,3.866133116
2022-01-01 0:00:00,10:00:00,-4.183233643,36.99464424,909.3710156,0,2.42642148,3.946884243
2022-01-01 0:00:00,11:00:00,-4.210272217,37.23014349,909.0461719,0,3.180835111,3.675299291
2022-01-01 0:00:00,12:00:00,0.703973389,26.11499095,908.3359375,0,3.587269644,3.494642172
2022-01-01 0:00:00,13:00:00,0.967156982,26.15460693,907.7545313,0,3.833073609,3.367572228
2022-01-01 0:00:00,14:00:00,1.375817871,25.48754418,907.8228906,0,3.7775265,2.476141538
2022-01-01 0:00:00,15:00:00,0.710351563,23.96327834,908.0709375,0,3.458306041,2.627103228
2022-01-01 0:00:00,16:00:00,0.880487061,23.64456774,908.1392969,0,2.722870049,2.609280541
2022-01-01 0:00:00,17:00:00,-3.315039062,33.27635155,908.5839844,0,1.943353483,3.021617275
2022-01-01 0:00:00,18:00:00,-1.219274902,28.96303792,909.156875,0,1.305854335,2.347826368
2022-01-01 0:00:00,19:00:00,-0.820928955,26.20806997,909.439375,0,1.179318009,2.610213864
2022-01-01 0:00:00,20:00:00,-0.964849854,26.33298349,909.7128906,0,1.27584248,2.501675611
2022-01-01 0:00:00,21:00:00,-3.938360596,31.76160631,909.4309375,0,1.376624557,2.294017872
2022-01-01 0:00:00,22:00:00,-6.64395752,41.94672063,909.5676563,0,1.52364484,2.256376208
2022-01-01 0:00:00,23:00:00,-7.087591553,45.3672079,909.4817969,0,1.555248877,2.338545262
2022-01-02 0:00:00,0:00:00,-9.008459473,52.04744041,909.3111719,0,1.13558642,2.76189288
2022-01-02 0:00:00,1:00:00,-9.503790283,52.6390042,908.7121875,0,0.944840002,3.05843398
2022-01-02 0:00:00,2:00:00,-9.707312012,51.63070182,908.3359375,0,1.146817359,3.104836551
2022-01-02 0:00:00,3:00:00,-11.44452515,55.89438155,907.9342188,0,1.251014424,3.113912237
2022-01-02 0:00:00,4:00:00,-11.6305603,54.143583,907.3358594,0,1.376869804,3.098841621
2022-01-02 0:00:00,5:00:00,-12.79215088,51.13280371,907.0878125,0,1.374926046,2.39302865
2022-01-02 0:00:00,6:00:00,-12.80805054,46.94362022,907.1217188,0,1.352478356,2.336647222
2022-01-02 0:00:00,7:00:00,-13.14435425,43.47059745,906.9408594,0,1.558875302,2.284115717
2022-01-02 0:00:00,8:00:00,-10.44751587,40.94562647,906.8889063,0,2.534939342,2.204553893
2022-01-02 0:00:00,9:00:00,-3.203741455,21.20461106,906.7239063,0,1.982798855,1.315484182
2022-01-02 0:00:00,10:00:00,-1.627935791,21.15608165,906.06625,0,2.041853012,1.32962833
2022-01-02 0:00:00,11:00:00,1.154779053,22.40410201,905.05375,0,2.883650013,1.847571311
2022-01-02 0:00:00,12:00:00,4.333428955,14.6227954,903.8067188,0,3.439634943,2.23747605
2022-01-02 0:00:00,13:00:00,4.420892334,15.93183017,902.7078125,0,3.490240534,2.140306583
2022-01-02 0:00:00,14:00:00,4.280145264,16.98774347,901.8850781,0,3.454196995,2.097964061
2022-01-02 0:00:00,15:00:00,3.648095703,19.15778138,901.72125,0,2.173585558,2.081873443
2022-01-02 0:00:00,16:00:00,2.945245361,19.34939411,901.7467188,0,2.238143881,2.077447852
2022-01-02 0:00:00,17:00:00,-1.338537598,30.71226261,901.6607813,0,2.216733971,2.093505693
2022-01-02 0:00:00,18:00:00,-2.434118652,36.02473295,902.4823438,0,2.404179799,2.823116514
2022-01-02 0:00:00,19:00:00,-2.271917725,37.46780049,903.0971094,0,2.575171413,1.668989852
2022-01-02 0:00:00,20:00:00,-2.165380859,40.91800488,903.27,0,2.517709887,1.519669861
2022-01-02 0:00:00,21:00:00,-3.536871338,46.72364055,903.2179688,0,2.529341187,2.019686804
2022-01-02 0:00:00,22:00:00,-5.071325684,56.67077724,903.305,0,2.606710267,2.192572089
2022-01-02 0:00:00,23:00:00,-4.91550293,59.73284772,903.4778906,0,2.211447233,2.693014826
2022-01-03 0:00:00,0:00:00,-6.268682861,66.35010957,903.74625,0,1.755374609,2.707795346
2022-01-03 0:00:00,1:00:00,-6.081060791,65.39282259,904.040625,0,1.413306017,2.584993842
2022-01-03 0:00:00,2:00:00,-5.611181641,63.58606687,904.0146875,0,1.268849613,2.644605994
2022-01-03 0:00:00,3:00:00,-6.645544434,67.24176859,904.3870313,0,1.124645614,2.699051988
2022-01-03 0:00:00,4:00:00,-6.861791992,68.44941366,904.1446094,0,1.232893283,2.745137215
2022-01-03 0:00:00,5:00:00,-7.124151611,64.944182,904.5514063,0,0.853249857,3.449836355
2022-01-03 0:00:00,6:00:00,-7.795202637,66.74091773,905.4170313,0,0.975347645,2.494021519
